item_id,order_id,product_id,quantity,unit_price,discount_percent
I000090,O00030,P0400,1,208.26,3.23
I000091,O00030,P0427,2,260.01,12.3
I000092,O00031,P0506,5,208.57,0.45
I000093,O00031,P0311,3,108.88,3.97
I000094,O00031,P0241,5,284.14,1.59
I000095,O00031,P0215,4,261.41,5.67
I000096,O00032,P0499,3,194.26,19.23
I000097,O00032,P0265,5,154.97,3.78
I000098,O00033,P0052,4,370.43,24.07
I000099,O00034,P0109,5,269.33,21.46
I000100,O00035,P0043,5,213.14,15.75
I000101,O00036,P0371,3,61.03,19.05
I000102,O00036,P0161,4,43.71,2.48
I000103,O00037,P0343,2,109.11,10.39
I000104,O00037,P0142,1,186.68,20.23
I000105,O00037,P0126,3,16.69,4.28
I000106,O00038,P0382,2,278.93,18.84
I000107,O00038,P0425,-1,159.08,10.72
I000108,O00038,P0370,4,280.88,23.8
I000109,O00039,P0031,1,43.82,12.93
I000110,O00039,P0454,1,185.84,7.87
I000111,O00039,P0150,2,260.24,9.83
I000112,O00040,P0155,5,269.7,15.79
I000113,O00041,P0430,3,106.58,0.2
I000114,O00041,P0412,3,228.31,15.26
I000115,O00041,P0312,2,148.85,11.15
I000116,O00042,P0453,4,34.24,22.02
I000117,O00042,P0354,1,66.29,8.36
I000118,O00043,P0533,2,237.64,13.79
I000119,O00043,P0291,5,75.4,15.89
I000120,O00044,P0029,5,322.36,6.03
I000121,O00045,P0433,1,206.87,6.49
I000122,O00045,P0518,5,290.64,1.19
I000123,O00045,P0114,1,280.61,14.31
I000124,O00046,P0465,3,331.93,20.13
I000125,O00047,P0359,3,338.55,20.38
I000126,O00047,P0307,5,235.02,17.86
I000127,O00048,P0108,5,22.16,20.57
I000128,O00048,P0336,3,288.45,3.66
I000129,O00049,P0422,4,298.29,11.91
I000130,O00049,P0084,4,127.8,16.92
I000131,O00049,P0095,4,382.06,12.97
I000132,O00049,P0064,4,76.26,14.61
I000133,O00050,P0451,2,9.32,12.12
I000134,O00050,P0502,4,104.57,17.61
I000135,O00050,P0427,5,254.84,5.32
I000136,O00050,P0167,-1,355.73,23.6
I000137,O00051,P0122,1,292.03,7.24
I000138,O00051,P0419,5,227.97,9.29
I000139,O00051,P0113,3,51.08,12.15
I000140,O00052,P0146,1,419.14,7.63
I000141,O00052,P0432,3,188.55,20.48
I000142,O00053,P0003,1,49.78,14.33
I000143,O00053,P0126,5,18.04,8.45
I000144,O00053,P0358,4,48.26,18.0
I000145,O00053,P0070,5,169.78,3.46
I000146,O00054,P0461,1,23.09,16.61
I000147,O00054,P0460,4,246.87,22.51
I000148,O00054,P0153,3,307.72,23.95
I000149,O00054,P0334,4,306.11,16.15
I000150,O00055,P0026,5,276.08,16.1
I000151,O00055,P0317,1,109.8,15.47
I000152,O00056,P0535,2,75.33,12.57
I000153,O00057,P0124,5,91.36,0.47
I000154,O00058,P0252,1,238.18,15.17
I000155,O00058,P0455,4,238.22,12.29
I000156,O00059,P0349,4,216.64,0.6
I000157,O00060,P0392,1,99.46,13.54
I000158,O00060,P0264,3,185.62,6.39
I000159,O00060,P0094,1,30.26,23.8
I000160,O00061,P0061,2,134.95,1.46
I000161,O00061,P0334,4,228.25,3.56
I000162,O00062,P0265,1,150.03,18.8
I000163,O00062,P0385,5,82.83,12.72
I000164,O00062,P0124,5,100.99,2.88
I000165,O00063,P0326,-3,22.27,12.1
I000166,O00064,P0240,2,311.25,16.29
I000167,O00064,P0020,2,328.41,10.17
I000168,O00064,P0276,1,66.05,12.51
I000169,O00064,P0104,-2,326.57,4.2
I000170,O00065,P0434,1,85.61,11.62
I000171,O00065,P0463,5,262.28,24.3
I000172,O00066,P0062,4,102.56,6.27
I000173,O00067,P0360,1,148.09,13.35
I000174,O00067,P0218,1,95.17,9.88
I000175,O00067,P0523,1,277.5,18.13
I000176,O00067,P0289,3,423.29,5.27
I000177,O00068,P0351,3,184.18,24.58
I000178,O00068,P0268,3,270.91,23.97
I000179,O00068,P0464,3,121.07,17.3
I000180,O00069,P0488,1,96.62,16.82
I000181,O00070,P0501,5,199.11,20.8
I000182,O00070,P0403,4,72.32,8.82
I000183,O00070,P0084,4,179.64,8.95
I000184,O00070,P0080,2,193.64,20.3
I000185,O00071,P0128,4,206.94,4.82
I000186,O00072,P0227,1,19.81,17.01
I000187,O00073,P0197,2,230.45,12.35
I000188,O00073,P0093,3,238.39,12.32
I000189,O00073,P0311,5,101.3,4.9
I000190,O00074,P0114,2,293.65,16.5
I000191,O00074,P0285,5,284.03,15.07
I000192,O00074,P0513,2,45.25,3.21
I000193,O00074,P0506,1,217.8,23.34
I000194,O00075,P0536,2,311.79,0.58
I000195,O00075,P0281,5,58.1,17.02
I000196,O00076,P0003,4,59.49,10.17
I000197,O00076,P0438,1,167.44,11.66
I000198,O00076,P0054,3,170.05,1.09
I000199,O00076,P0331,2,128.59,22.96
I000200,O00077,P0324,3,274.66,14.3
I000201,O00077,P0006,1,164.52,5.64
I000202,O00077,P0402,4,11.73,22.92
I000203,O00077,P0200,2,192.79,7.77
I000204,O00078,P0029,4,300.45,0.6
I000205,O00079,P0257,4,126.06,8.52
I000206,O00079,P0254,-2,49.01,5.92
I000207,O00079,P0111,1,134.29,15.49
I000208,O00080,P0458,5,262.71,24.36
I000209,O00081,P0387,3,197.61,17.33
I000210,O00082,P0064,1,59.79,15.65
I000211,O00082,P0453,1,25.18,1.39
I000212,O00083,P0302,4,196.03,15.43
I000213,O00084,P0239,4,356.22,22.0
I000214,O00084,P0011,5,46.96,16.27
I000215,O00084,P0465,1,268.15,8.2
I000216,O00084,P0394,2,18.03,0.31
I000217,O00085,P0199,5,36.64,12.72
I000218,O00086,P0432,2,191.17,19.93
I000219,O00086,P0493,1,193.65,14.61
I000220,O00086,P0456,5,427.6,18.86
I000221,O00087,P0150,3,280.23,7.28
I000222,O00087,P0151,1,101.91,16.44
I000223,O00087,P0481,2,209.79,12.68
I000224,O00088,P0433,3,155.67,5.01
I000225,O00089,P0071,2,100.12,17.37
I000226,O00089,P0350,4,252.15,8.28
I000227,O00090,P0307,-1,214.02,19.73
I000228,O00090,P0429,1,322.93,23.0
I000229,O00090,P0337,2,330.2,11.66
I000230,O00091,P0245,3,57.07,9.4
I000231,O00091,P0493,4,199.43,24.75
I000232,O00092,P0011,1,58.34,3.56
I000233,O00092,P0076,4,154.47,14.64
I000234,O00092,P0367,3,169.19,0.74
I000235,O00093,P0291,2,94.87,17.97
I000236,O00093,P0179,3,163.98,6.15
I000237,O00094,P0023,3,254.39,0.52
I000238,O00094,P0181,2,257.94,19.69
I000239,O00095,P0347,2,253.41,6.0
I000240,O00096,P0176,1,45.03,22.07
I000241,O00096,P0540,2,50.77,4.79
I000242,O00096,P0445,4,311.75,7.95
I000243,O00097,P0251,2,279.5,1.33
I000244,O00097,P0048,3,22.21,21.29
I000245,O00097,P0194,5,288.52,5.23
I000246,O00097,P0302,1,230.61,19.77
I000247,O00098,P0172,5,274.62,22.06
I000248,O00099,P0511,2,273.21,9.35
I000249,O00099,P0532,4,247.64,12.37
I000250,O00099,P0476,3,262.76,15.95
I000251,O00100,P0213,2,370.23,11.3
I000252,O00101,P0406,3,152.01,9.43
I000253,O00101,P0224,2,53.46,9.35
I000254,O00102,P0138,1,146.03,12.97
I000255,O00103,P0043,5,271.78,10.65
I000256,O00103,P0477,4,176.14,9.19
I000257,O00104,P0325,2,188.27,6.64
I000258,O00104,P0280,1,249.04,2.06
I000259,O00104,P0392,5,82.56,16.09
I000260,O00104,P0026,3,308.26,2.46
I000261,O00105,P0369,1,98.29,8.34
I000262,O00106,P0257,2,155.4,24.95
I000263,O00106,P0310,5,339.11,0.21
I000264,O00106,P0282,3,171.25,8.67
I000265,O00107,P0416,2,372.46,5.69
I000266,O00107,P0013,2,291.3,12.9
I000267,O00107,P0484,5,134.52,18.06
I000268,O00107,P0525,4,267.17,2.15
I000269,O00108,P0440,2,156.1,21.32
I000270,O00108,P0428,1,228.63,14.44
I000271,O00109,P0313,4,224.22,20.86
I000272,O00109,P0010,3,158.65,10.64
I000273,O00110,P0307,2,185.09,23.82
I000274,O00110,P0334,3,285.62,19.98
I000275,O00110,P0024,5,140.01,9.77
I000276,O00110,P0033,4,294.87,9.77
I000277,O00111,P0193,5,279.91,15.98
I000278,O00111,P0487,3,65.28,2.61
I000279,O00111,P0112,-1,202.31,17.23
I000280,O00111,P0337,4,240.84,4.97
I000281,O00112,P0291,5,65.73,1.44
I000282,O00112,P0211,5,188.46,8.17
I000283,O00112,P0239,4,300.1,24.74
I000284,O00112,P0299,2,235.35,11.96
I000285,O00113,P0399,2,162.43,5.14
I000286,O00114,P0487,5,87.13,11.47
I000287,O00114,P0163,2,110.93,3.57
I000288,O00114,P0318,1,227.56,15.12
I000289,O00114,P0208,2,312.73,22.76
I000290,O00115,P0472,3,316.72,22.97
I000291,O00115,P0474,3,182.16,17.79
I000292,O00115,P0041,3,279.44,20.59
I000293,O00115,P0094,2,34.36,4.49
I000294,O00116,P0469,4,373.41,1.09
I000295,O00116,P0394,2,19.63,15.7
I000296,O00116,P0188,3,71.88,1.67
I000297,O00116,P0098,2,147.78,10.28
I000298,O00117,P0378,1,240.95,12.61
I000299,O00118,P0420,3,194.2,1.12
I000300,O00118,P0462,1,292.24,17.36
I000301,O00118,P0169,4,54.02,18.65
I000302,O00119,P0407,1,161.45,17.73
I000303,O00119,P0039,2,40.54,18.72
I000304,O00120,P0473,4,253.47,20.51
I000305,O00120,P0070,2,173.16,0.45
I000306,O00120,P0085,1,177.93,3.1
I000307,O00120,P0249,4,179.82,16.78
I000308,O00121,P0280,2,258.59,4.45
I000309,O00122,P0222,4,262.82,20.91
I000310,O00123,P0400,3,189.19,14.96
I000311,O00124,P0387,2,200.49,9.37
I000312,O00125,P0205,1,110.17,24.73
I000313,O00125,P0094,3,40.74,17.0
I000314,O00126,P0226,1,258.16,20.76
I000315,O00127,P0172,4,290.46,20.39
I000316,O00127,P0046,3,54.86,4.74
I000317,O00128,P0405,1,235.15,2.65
I000318,O00128,P0439,3,207.92,10.05
I000319,O00129,P0013,4,258.28,16.45
I000320,O00129,P0399,3,206.9,9.22
I000321,O00129,P0218,1,122.07,10.28
I000322,O00130,P0105,5,94.86,15.77
I000323,O00130,P0176,4,58.38,24.31
I000324,O00130,P0258,-2,158.8,19.04
I000325,O00130,P0098,3,151.61,16.66
I000326,O00131,P0344,1,40.48,14.63
I000327,O00132,P0524,2,107.07,18.97
I000328,O00132,P0239,1,288.67,18.45
I000329,O00132,P0516,-3,20.05,3.44
I000330,O00132,P0014,4,124.85,3.79
I000331,O00133,P0039,5,53.33,11.09
I000332,O00133,P0244,3,32.86,7.94
I000333,O00134,P0534,4,233.8,7.21
I000334,O00135,P0235,3,251.26,5.15
I000335,O00136,P0255,2,8.56,9.54
I000336,O00137,P0188,1,77.88,1.75
I000337,O00137,P0453,2,24.51,24.8
I000338,O00137,P0007,2,90.6,4.34
I000339,O00138,P0242,1,139.52,11.68
I000340,O00138,P0520,2,229.25,6.12
I000341,O00139,P0255,3,8.45,24.19
I000342,O00139,P0311,2,104.52,19.53
I000343,O00140,P0369,4,91.14,11.77
I000344,O00141,P0518,1,346.41,10.68
I000345,O00141,P0444,1,110.39,23.04
I000346,O00141,P0160,5,355.31,13.82
I000347,O00141,P0494,2,286.96,11.59
I000348,O00142,P0291,3,68.11,11.73
I000349,O00142,P0385,2,110.89,0.1
I000350,O00142,P0493,5,255.18,9.36
I000351,O00142,P0074,4,266.35,23.51
I000352,O00143,P0394,5,17.68,22.12
I000353,O00143,P0502,1,118.63,14.14
I000354,O00143,P0316,2,97.42,23.93
I000355,O00144,P0522,1,379.05,23.16
I000356,O00144,P0501,2,222.49,0.86
I000357,O00144,P0378,3,229.07,16.91
I000358,O00145,P0268,2,276.88,15.05
I000359,O00145,P0467,2,104.55,19.27
I000360,O00146,P0408,4,188.34,10.67
I000361,O00146,P0083,3,42.33,13.33
I000362,O00146,P0531,4,126.52,18.35
I000363,O00146,P0194,1,204.13,14.32
I000364,O00147,P0147,4,66.95,0.16
I000365,O00147,P0276,2,65.29,0.04
I000366,O00147,P0215,1,353.0,10.45
I000367,O00148,P0296,3,222.16,3.36
I000368,O00148,P0442,4,134.74,23.71
I000369,O00148,P0175,4,222.01,5.31
I000370,O00148,P0181,2,219.52,4.57
I000371,O00149,P0266,4,59.17,15.61
I000372,O00149,P0419,2,219.26,2.14
I000373,O00150,P0284,1,168.38,14.64
I000374,O00151,P0497,3,200.23,0.18
I000375,O00151,P0104,5,361.75,1.05
I000376,O00151,P0010,2,182.26,0.18
I000377,O00151,P0063,-3,41.53,19.03
I000378,O00152,P0485,3,112.99,8.58
I000379,O00152,P0346,3,203.61,23.52
I000380,O00152,P0440,4,151.84,1.43
I000381,O00152,P0345,3,169.09,20.16
I000382,O00153,P0468,4,98.0,22.2
I000383,O00154,P0027,5,236.17,17.48
I000384,O00154,P0126,2,17.35,15.46
I000385,O00155,P0528,3,235.52,9.01
I000386,O00155,P0424,1,270.51,18.4
I000387,O00155,P0193,4,205.26,12.11
I000388,O00155,P0004,5,76.91,8.71
I000389,O00156,P0103,2,245.06,21.91
I000390,O00156,P0395,5,207.69,12.45
I000391,O00156,P0301,1,240.7,16.83
I000392,O00156,P0200,5,274.81,11.67
I000393,O00157,P0119,2,26.58,23.61
I000394,O00157,P0494,1,265.46,24.83
I000395,O00157,P0247,1,177.46,23.22
I000396,O00157,P0250,4,391.98,5.51
I000397,O00158,P0488,5,86.93,12.3
I000398,O00158,P0127,3,196.23,23.29
I000399,O00158,P0140,5,203.73,8.58
I000400,O00159,P0448,1,39.6,2.78
I000401,O00159,P0239,3,348.64,23.43
I000402,O00159,P0229,1,49.74,3.19
I000403,O00159,P0266,3,67.25,14.42
I000404,O00160,P0319,1,10.98,4.75
I000405,O00161,P0434,5,117.66,14.77
I000406,O00161,P0328,1,64.73,13.46
I000407,O00161,P0374,4,208.21,20.4
I000408,O00161,P0130,3,46.0,12.5
I000409,O00162,P0151,5,93.11,12.56
I000410,O00162,P0291,-2,98.85,17.66
I000411,O00162,P0150,4,283.5,5.39
I000412,O00162,P0036,3,369.32,9.42
I000413,O00163,P0157,1,384.56,19.4
I000414,O00163,P0216,4,346.86,7.48
I000415,O00163,P0231,2,318.68,13.7
I000416,O00164,P0433,4,171.17,13.2
I000417,O00164,P0485,3,94.57,23.08
I000418,O00164,P0357,5,83.08,3.27
I000419,O00165,P0312,4,146.1,14.43
I000420,O00166,P0495,2,123.24,4.89
I000421,O00166,P0299,1,217.57,21.4
I000422,O00166,P0149,1,165.45,24.71
I000423,O00166,P0215,2,297.87,24.57
I000424,O00167,P0058,3,394.14,4.49
I000425,O00167,P0099,1,281.68,12.89
I000426,O00168,P0445,2,228.18,6.02
I000427,O00168,P0153,4,275.98,14.9
I000428,O00168,P0414,2,263.12,9.38
I000429,O00169,P0475,4,257.33,16.33
I000430,O00170,P0012,1,81.19,16.04
I000431,O00170,P0123,5,22.54,14.67
I000432,O00170,P0120,5,55.88,17.34
I000433,O00171,P0186,4,325.97,16.11
I000434,O00172,P0306,1,118.43,21.56
I000435,O00172,P0129,5,267.03,20.32
I000436,O00172,P0102,1,268.26,20.44
I000437,O00172,P0334,5,275.89,12.97
I000438,O00173,P0213,1,270.98,14.98
I000439,O00174,P0006,3,112.81,3.22
I000440,O00174,P0458,2,335.92,2.2
I000441,O00175,P0036,5,308.76,24.16
I000442,O00175,P0087,2,207.08,23.63
I000443,O00175,P0128,1,195.13,1.15
I000444,O00176,P0456,3,359.12,24.65
I000445,O00176,P0144,3,134.93,12.76
I000446,O00176,P0503,1,80.38,1.12
I000447,O00177,P0193,2,212.04,20.82
I000448,O00178,P0222,3,202.26,15.56
I000449,O00178,P0368,1,361.58,6.52
I000450,O00179,P0410,1,67.05,16.91
I000451,O00179,P0468,2,90.56,1.76
I000452,O00180,P0198,5,200.34,20.54
I000453,O00180,P0382,3,401.02,10.84
I000454,O00180,P0524,1,163.45,6.19
I000455,O00181,P0128,1,202.96,2.22
I000456,O00181,P0113,3,62.79,3.66
I000457,O00181,P0417,2,202.12,2.45
I000458,O00182,P0388,1,210.57,18.21
I000459,O00182,P0108,3,22.22,20.17
I000460,O00183,P0542,3,98.23,21.63
I000461,O00184,P0102,3,336.81,9.74
I000462,O00184,P0050,3,66.05,16.95
I000463,O00184,P0175,5,220.54,22.05
I000464,O00185,P0489,5,338.69,16.44
I000465,O00185,P0131,2,273.74,18.39
I000466,O00185,P0266,1,66.37,15.98
I000467,O00185,P0010,3,196.98,6.23
I000468,O00186,P0469,4,343.69,6.9
I000469,O00186,P0188,4,67.57,17.96
I000470,O00186,P0450,2,240.23,21.45
I000471,O00186,P0363,3,130.82,7.82
I000472,O00187,P0082,1,32.65,23.62
I000473,O00188,P0059,3,45.08,12.32
I000474,O00188,P0087,1,258.0,10.6
I000475,O00189,P0492,5,382.42,16.92
I000476,O00189,P0510,5,177.83,10.14
I000477,O00190,P0008,5,254.53,6.11
I000478,O00190,P0436,5,233.79,1.06
I000479,O00191,P0173,1,342.61,3.33
I000480,O00191,P0537,3,312.55,10.57
I000481,O00191,P0231,4,223.95,24.24
I000482,O00191,P0180,3,90.15,6.24
I000483,O00192,P0298,3,353.75,6.62
I000484,O00193,P0404,2,73.17,23.23
I000485,O00194,P0475,5,329.46,1.44
I000486,O00195,P0472,3,271.1,2.68
I000487,O00196,P0191,1,115.28,12.3
I000488,O00196,P0412,1,196.57,22.46
I000489,O00196,P0364,4,36.31,12.19
I000490,O00197,P0257,4,135.91,7.48
I000491,O00197,P0232,4,253.05,13.41
I000492,O00198,P0112,2,238.44,10.85
I000493,O00198,P0450,3,307.21,17.73
I000494,O00198,P0166,1,153.66,1.01
I000495,O00199,P0432,2,258.17,23.99
I000496,O00199,P0340,3,166.94,12.23
I000497,O00199,P0033,4,383.87,17.86
I000498,O00199,P0165,3,242.42,19.51
I000499,O00200,P0514,1,219.27,3.15
I000500,O00200,P0399,3,194.08,19.18
I000501,O00200,P0135,2,56.15,20.75
I000502,O00200,P0113,4,67.68,18.44
I000503,O00201,P0492,1,394.22,6.19
I000504,O00201,P0297,2,388.77,4.67
I000505,O00201,P0289,3,405.45,21.6
I000506,O00201,P0498,2,142.62,10.73
I000507,O00202,P0106,5,240.37,3.72
I000508,O00202,P0515,1,97.04,0.96
I000509,O00202,P0186,2,390.33,10.66
I000510,O00202,P0194,5,213.95,21.61
I000511,O00203,P0418,2,215.8,11.98
I000512,O00203,P0538,-2,160.43,7.61
I000513,O00203,P0314,3,30.08,23.57
I000514,O00203,P0237,4,292.98,22.38
I000515,O00204,P0042,1,130.65,8.04
I000516,O00204,P0001,3,329.41,22.71
I000517,O00205,P0442,2,139.6,12.28
I000518,O00206,P0312,1,147.8,19.26
I000519,O00206,P0115,2,146.24,18.53
I000520,O00206,P0100,3,217.23,14.72
I000521,O00207,P0244,5,37.17,22.18
I000522,O00207,P0283,2,279.16,15.05
I000523,O00207,P0216,1,327.29,22.8
I000524,O00208,P0198,1,191.1,13.66
I000525,O00208,P0457,3,217.87,11.85
I000526,O00209,P0158,2,153.39,13.76
I000527,O00209,P0045,3,168.98,18.98
I000528,O00210,P0375,4,266.71,10.48
I000529,O00210,P0460,5,293.08,4.17
I000530,O00210,P0121,3,19.38,3.22
I000531,O00211,P0063,2,37.82,9.94
I000532,O00212,P0170,4,404.35,9.6
I000533,O00213,P0411,1,51.39,5.45
I000534,O00213,P0279,1,275.4,19.77
I000535,O00213,P0212,-3,112.24,13.13
I000536,O00213,P0189,3,16.51,7.41
I000537,O00214,P0122,1,314.42,7.3
I000538,O00214,P0176,2,64.68,6.94
I000539,O00214,P0230,2,27.21,19.77
I000540,O00215,P0216,1,335.92,15.82
I000541,O00215,P0119,3,28.69,23.66
I000542,O00216,P0137,3,321.6,15.65
I000543,O00216,P0419,1,307.5,5.48
I000544,O00216,P0302,3,175.72,24.29
I000545,O00217,P0392,3,95.49,15.86
I000546,O00218,P0453,3,27.42,14.54
I000547,O00218,P0226,4,193.64,5.79
I000548,O00219,P0378,4,186.18,4.63
I000549,O00219,P0152,2,236.1,12.26
I000550,O00219,P0491,2,244.1,0.53
I000551,O00219,P0096,2,117.64,20.44
I000552,O00220,P0072,1,60.84,11.38
I000553,O00220,P0147,4,50.71,13.17
I000554,O00221,P0103,4,199.95,2.75
I000555,O00222,P0045,2,128.13,2.09
I000556,O00223,P0014,1,139.71,20.46
I000557,O00223,P0010,1,156.81,12.01
I000558,O00224,P0168,2,138.97,13.59
I000559,O00224,P0315,3,215.06,3.08
I000560,O00224,P0340,1,165.53,7.42
I000561,O00224,P0491,5,268.23,10.38
I000562,O00225,P0230,-1,29.3,3.68
I000563,O00226,P0232,4,184.34,2.75
I000564,O00226,P0394,1,26.19,7.05
I000565,O00226,P0116,1,175.51,2.96
I000566,O00227,P0045,5,121.95,10.72
I000567,O00228,P0186,3,346.31,7.18
I000568,O00228,P0436,1,194.44,12.48
I000569,O00228,P0154,3,104.47,20.27
I000570,O00229,P0003,2,57.98,3.66
I000571,O00230,P0400,4,220.87,2.83
I000572,O00230,P0458,4,378.5,6.96
I000573,O00231,P0331,2,138.15,9.63
I000574,O00232,P0507,4,113.29,15.92
I000575,O00232,P0435,2,113.92,16.35
I000576,O00232,P0493,2,219.74,13.73
I000577,O00233,P0236,5,260.41,17.34
I000578,O00233,P0394,2,23.75,5.88
I000579,O00233,P0086,1,137.91,21.26
I000580,O00233,P0432,3,221.12,23.94
I000581,O00234,P0062,3,106.96,21.23
I000582,O00235,P0302,2,235.18,13.79
I000583,O00235,P0472,4,263.77,20.7
I000584,O00236,P0142,1,253.09,17.6
I000585,O00237,P0027,1,280.35,1.84
I000586,O00237,P0435,5,116.95,0.75
I000587,O00237,P0381,3,242.06,6.13
I000588,O00237,P0056,1,275.87,20.34
I000589,O00238,P0187,2,407.51,17.46
I000590,O00238,P0482,3,40.45,18.06
I000591,O00239,P0014,1,160.18,0.8
I000592,O00239,P0294,2,241.57,0.27
I000593,O00239,P0114,4,309.85,21.9
I000594,O00239,P0160,5,382.14,6.45
I000595,O00240,P0233,3,390.23,13.04
I000596,O00240,P0434,2,121.5,10.01
I000597,O00240,P0161,1,34.74,4.59
I000598,O00241,P0480,4,323.61,16.05
I000599,O00242,P0169,2,51.23,2.61
I000600,O00242,P0056,3,279.89,21.17
I000601,O00242,P0381,1,254.51,4.07
I000602,O00242,P0435,1,81.28,14.93
I000603,O00243,P0193,2,208.91,24.42
I000604,O00243,P0207,5,6.69,24.66
I000605,O00243,P0034,4,104.39,7.86
I000606,O00244,P0009,4,114.03,7.86
I000607,O00244,P0366,4,270.11,24.35
I000608,O00244,P0290,1,287.61,22.41
I000609,O00245,P0515,2,91.5,19.9
I000610,O00246,P0039,4,35.74,15.65
I000611,O00246,P0298,2,416.78,20.19
I000612,O00246,P0166,2,199.11,4.03
I000613,O00246,P0156,5,116.69,18.22
I000614,O00247,P0459,3,103.91,21.4
I000615,O00247,P0135,4,55.78,17.82
I000616,O00247,P0348,4,100.87,24.93
I000617,O00248,P0157,5,342.37,12.44
I000618,O00249,P0147,3,62.83,24.22
I000619,O00250,P0511,1,290.59,4.24
I000620,O00251,P0166,5,167.3,2.23
I000621,O00251,P0070,2,221.37,11.52
I000622,O00251,P0287,4,237.66,19.08
I000623,O00252,P0144,3,149.29,10.02
I000624,O00252,P0127,5,199.58,3.22
I000625,O00252,P0500,3,174.59,15.62
I000626,O00252,P0041,-2,239.65,10.33
I000627,O00253,P0270,5,169.52,21.33
I000628,O00253,P0044,3,83.22,14.25
I000629,O00253,P0059,1,38.66,21.85
I000630,O00253,P0251,1,282.33,11.71
I000631,O00254,P0112,4,284.99,4.99
I000632,O00254,P0088,3,29.01,8.56
I000633,O00254,P0185,5,194.21,17.56
