product_id,product_name,category,subcategory,cost_price
P0074,Lite Audio 74,Electronics,Audio,152.05
P0075,Pro Audio 75,Electronics,Audio,55.7
P0076,Pro Audio 76,Electronics,Audio,121.02
P0077,Essential Audio 77,Electronics,Audio,120.38
P0078,Classic Audio 78,Electronics,Audio,27.33
P0079,Ultra Audio 79,Electronics,Audio,95.9
P0080,Ultra Audio 80,Electronics,Audio,114.21
P0081,Essential Audio 81,Electronics,Audio,69.53
P0082,Premium Audio 82,Electronics,Audio,20.1
P0083,Lite Audio 83,Electronics,Audio,28.69
P0084,Premium Audio 84,Electronics,Audio,106.43
P0085,Ultra Audio 85,Electronics,Audio,140.63
P0086,Premium Audio 86,Electronics,Audio,107.56
P0087,Essential Audio 87,Electronics,Audio,145.32
P0088,Classic Audio 88,Electronics,Audio,24.34
P0089,Lite Audio 89,Electronics,Audio,13.51
P0090,Premium Audio 90,Electronics,Audio,201.11
P0091,Premium Audio 91,Electronics,Audio,41.12
P0092,Essential Audio 92,Electronics,Audio,47.36
P0093,Ultra Audio 93,Electronics,Audio,203.07
P0094,Essential Audio 94,Electronics,Audio,24.2
P0095,Ultra Audio 95,Electronics,Audio,249.33
P0096,Premium Audio 96,Electronics,Audio,68.18
P0097,Pro Audio 97,Electronics,Audio,26.32
P0098,Premium Audio 98,Electronics,Audio,84.9
P0099,  essential audio 99  ,Electronics,Audio,229.7
P0100,Premium Audio 100,Electronics,Audio,133.03
P0101,Essential Audio 101,Electronics,Audio,41.66
P0102,Premium Audio 102,Electronics,Audio,190.8
P0103,Pro Accessories 103,Electronics,Accessories,142.86
P0104,Classic Accessories 104,Electronics,Accessories,217.53
P0105,Essential Accessories 105,Electronics,Accessories,69.71
P0106,  PREMIUM ACCESSORIES 106  ,Electronics,Accessories,154.2
P0107,Ultra Accessories 107,Electronics,Accessories,156.47
P0108,Essential Accessories 108,Electronics,Accessories,14.5
P0109,  CLASSIC ACCESSORIES 109  ,Electronics,Accessories,174.18
P0110,  classic accessories 110  ,Electronics,Accessories,224.77
P0111,Classic Accessories 111,Electronics,Accessories,81.18
P0112,Lite Accessories 112,Electronics,Accessories,172.79
P0113,Ultra Accessories 113,Electronics,Accessories,37.92
P0114,Essential Accessories 114,Electronics,Accessories,194.64
P0115,Lite Accessories 115,Electronics,Accessories,107.11
P0116,Ultra Accessories 116,Electronics,Accessories,113.22
P0117,Essential Accessories 117,Electronics,Accessories,186.53
P0118,Classic Accessories 118,Electronics,Accessories,206.15
P0119,Ultra Accessories 119,Electronics,Accessories,21.08
P0120,Essential Accessories 120,Electronics,Accessories,38.23
P0121,Premium Accessories 121,Electronics,Accessories,12.09
P0122,Ultra Accessories 122,Electronics,Accessories,210.06
P0123,Essential Accessories 123,Electronics,Accessories,17.39
P0124,Ultra Accessories 124,Electronics,Accessories,72.12
P0125,Premium Accessories 125,Electronics,Accessories,102.25
P0126,Lite Accessories 126,Electronics,Accessories,12.49
P0127,Premium Accessories 127,Electronics,Accessories,114.3
P0128,Essential Accessories 128,Electronics,Accessories,148.79
P0129,Ultra Accessories 129,Electronics,Accessories,210.23
P0130,  LITE ACCESSORIES 130  ,Electronics,Accessories,27.15
P0131,Premium Accessories 131,Electronics,Accessories,196.06
P0132,Ultra Accessories 132,Electronics,Accessories,163.61
P0133,Classic Accessories 133,Electronics,Accessories,164.64
P0134,Lite Accessories 134,Electronics,Accessories,7.18
P0135,Lite Accessories 135,Electronics,Accessories,47.43
P0136,Ultra Accessories 136,Electronics,Accessories,66.84
P0137,Classic Shirts 137,Clothing,Shirts,179.62
P0138,Classic Shirts 138,Clothing,Shirts,108.83
P0139,Classic Shirts 139,Clothing,Shirts,117.45
P0140,Classic Shirts 140,Clothing,Shirts,170.91
P0141,  essential shirts 141  ,Clothing,Shirts,148.2
P0142,Classic Shirts 142,Clothing,Shirts,142.56
P0143,Classic Shirts 143,Clothing,Shirts,78.13
P0144,Pro Shirts 144,Clothing,Shirts,87.39
P0145,Classic Shirts 145,Clothing,Shirts,216.07
P0146,Lite Shirts 146,Clothing,Shirts,238.29
P0147,Ultra Shirts 147,Clothing,Shirts,41.73
P0148,Pro Shirts 148,Clothing,Shirts,202.33
P0149,Premium Shirts 149,Clothing,Shirts,104.0
P0150,Ultra Shirts 150,Clothing,Shirts,181.71
P0151,Classic Shirts 151,Clothing,Shirts,68.56
P0152,Essential Shirts 152,Clothing,Shirts,185.5
P0153,Premium Shirts 153,Clothing,Shirts,204.92
P0154,Lite Shirts 154,Clothing,Shirts,59.48
P0155,Essential Shirts 155,Clothing,Shirts,227.1
P0156,Premium Shirts 156,Clothing,Shirts,78.55
P0157,Lite Shirts 157,Clothing,Shirts,219.74
P0158,Pro Shirts 158,Clothing,Shirts,120.34
P0159,Lite Shirts 159,Clothing,Shirts,203.04
P0160,Ultra Shirts 160,Clothing,Shirts,237.0
P0161,Lite Shirts 161,Clothing,Shirts,26.88
P0162,Lite Shirts 162,Clothing,Shirts,218.5
P0163,Classic Shirts 163,Clothing,Shirts,96.06
P0164,Essential Shirts 164,Clothing,Shirts,213.55
P0165,Lite Shirts 165,Clothing,Shirts,147.98
P0166,Pro Shirts 166,Clothing,Shirts,120.69
P0167,Pro Shirts 167,Clothing,Shirts,217.54
P0168,Classic Shirts 168,Clothing,Shirts,106.21
P0169,Ultra Shirts 169,Clothing,Shirts,38.65
P0170,Essential Shirts 170,Clothing,Shirts,246.86
P0171,Essential Pants 171,Clothing,Pants,40.09
P0172,Ultra Pants 172,Clothing,Pants,195.84
P0173,Lite Pants 173,Clothing,Pants,246.73
P0174,Pro Pants 174,Clothing,Pants,6.15
P0175,Ultra Pants 175,Clothing,Pants,146.19
P0176,Pro Pants 176,Clothing,Pants,36.7
P0177,Essential Pants 177,Clothing,Pants,103.83
P0178,Essential Pants 178,Clothing,Pants,6.14
P0179,  LITE PANTS 179  ,Clothing,Pants,96.41
P0180,Premium Pants 180,Clothing,Pants,51.69
P0181,Lite Pants 181,Clothing,Pants,184.73
P0182,Classic Pants 182,Clothing,Pants,81.46
P0183,Premium Pants 183,Clothing,Pants,149.22
P0184,Pro Pants 184,Clothing,Pants,78.06
P0185,Lite Pants 185,Clothing,Pants,132.47
P0186,Essential Pants 186,Clothing,Pants,222.55
P0187,Classic Pants 187,Clothing,Pants,249.05
P0188,Ultra Pants 188,Clothing,Pants,45.4
P0189,Essential Pants 189,Clothing,Pants,9.69
P0190,  ultra pants 190  ,Clothing,Pants,56.74
P0191,Pro Pants 191,Clothing,Pants,94.81
P0192,Pro Pants 192,Clothing,Pants,96.92
P0193,Premium Pants 193,Clothing,Pants,157.67
P0194,Pro Pants 194,Clothing,Pants,167.18
P0195,Pro Pants 195,Clothing,Pants,16.82
P0196,Essential Pants 196,Clothing,Pants,98.16
P0197,Essential Pants 197,Clothing,Pants,176.96
P0198,Lite Pants 198,Clothing,Pants,159.43
P0199,Lite Pants 199,Clothing,Pants,29.74
P0200,Premium Pants 200,Clothing,Pants,153.38
P0201,Pro Pants 201,Clothing,Pants,130.34
P0202,Classic Pants 202,Clothing,Pants,32.93
P0203,Ultra Pants 203,Clothing,Pants,154.21
P0204,Premium Pants 204,Clothing,Pants,243.41
P0205,  ESSENTIAL SHOES 205  ,Clothing,Shoes,77.36
P0206,Ultra Shoes 206,Clothing,Shoes,173.61
P0207,Ultra Shoes 207,Clothing,Shoes,5.67
P0208,Pro Shoes 208,Clothing,Shoes,209.63
P0209,Ultra Shoes 209,Clothing,Shoes,237.61
P0210,Pro Shoes 210,Clothing,Shoes,182.27
P0211,Classic Shoes 211,Clothing,Shoes,162.86
P0212,  classic shoes 212  ,Clothing,Shoes,69.71
P0213,Pro Shoes 213,Clothing,Shoes,213.8
P0214,Lite Shoes 214,Clothing,Shoes,81.61
P0215,Pro Shoes 215,Clothing,Shoes,213.56
P0216,Pro Shoes 216,Clothing,Shoes,213.74
P0217,Ultra Shoes 217,Clothing,Shoes,85.52
P0218,Premium Shoes 218,Clothing,Shoes,70.74
P0219,Classic Shoes 219,Clothing,Shoes,204.67
P0220,Essential Shoes 220,Clothing,Shoes,103.06
P0221,Essential Shoes 221,Clothing,Shoes,174.03
P0222,Essential Shoes 222,Clothing,Shoes,163.97
P0223,Pro Shoes 223,Clothing,Shoes,37.47
P0224,Ultra Shoes 224,Clothing,Shoes,30.41
P0225,Essential Shoes 225,Clothing,Shoes,201.55
P0226,Ultra Shoes 226,Clothing,Shoes,154.77
P0227,Premium Shoes 227,Clothing,Shoes,12.06
P0228,Lite Shoes 228,Clothing,Shoes,243.49
P0229,Essential Shoes 229,Clothing,Shoes,32.67
P0230,Pro Shoes 230,Clothing,Shoes,20.52
P0231,Pro Shoes 231,Clothing,Shoes,177.62
P0232,Lite Shoes 232,Clothing,Shoes,146.28
P0233,Lite Shoes 233,Clothing,Shoes,218.92
P0234,Lite Shoes 234,Clothing,Shoes,176.64
P0235,Lite Shoes 235,Clothing,Shoes,183.03
P0236,Lite Shoes 236,Clothing,Shoes,170.69
P0237,Premium Shoes 237,Clothing,Shoes,223.56
P0238,Pro Shoes 238,Clothing,Shoes,162.63
P0239,Essential Outerwear 239,Clothing,Outerwear,213.71
P0240,Pro Outerwear 240,Clothing,Outerwear,189.1
P0241,  CLASSIC OUTERWEAR 241  ,Clothing,Outerwear,242.69
P0242,Lite Outerwear 242,Clothing,Outerwear,97.77
P0243,Pro Outerwear 243,Clothing,Outerwear,117.48
P0244,Essential Outerwear 244,Clothing,Outerwear,26.56
P0245,Classic Outerwear 245,Clothing,Outerwear,34.08
P0246,Lite Outerwear 246,Clothing,Outerwear,9.35
P0247,  PRO OUTERWEAR 247  ,Clothing,Outerwear,141.5
P0248,Premium Outerwear 248,Clothing,Outerwear,240.98
P0249,Premium Outerwear 249,Clothing,Outerwear,142.77
P0250,Essential Outerwear 250,Clothing,Outerwear,237.84
P0251,Pro Outerwear 251,Clothing,Outerwear,205.06
P0252,Classic Outerwear 252,Clothing,Outerwear,142.24
P0253,Essential Outerwear 253,Clothing,Outerwear,180.58
P0254,Essential Outerwear 254,Clothing,Outerwear,32.94
P0255,Ultra Outerwear 255,Clothing,Outerwear,5.54
P0256,Lite Outerwear 256,Clothing,Outerwear,241.29
P0257,Premium Outerwear 257,Clothing,Outerwear,96.6
P0258,Ultra Outerwear 258,Clothing,Outerwear,125.64
P0259,Lite Outerwear 259,Clothing,Outerwear,181.78
P0260,Premium Outerwear 260,Clothing,Outerwear,53.0
P0261,Essential Outerwear 261,Clothing,Outerwear,57.82
P0262,Ultra Outerwear 262,Clothing,Outerwear,180.61
P0263,Essential Outerwear 263,Clothing,Outerwear,16.39
P0264,Lite Outerwear 264,Clothing,Outerwear,149.26
P0265,Essential Outerwear 265,Clothing,Outerwear,117.06
P0266,Premium Outerwear 266,Clothing,Outerwear,37.99
P0267,Premium Outerwear 267,Clothing,Outerwear,185.37
P0268,Essential Outerwear 268,Clothing,Outerwear,210.51
P0269,Premium Outerwear 269,Clothing,Outerwear,196.36
P0270,Lite Outerwear 270,Clothing,Outerwear,146.75
P0271,Ultra Outerwear 271,Clothing,Outerwear,30.37
P0272,Premium Outerwear 272,Clothing,Outerwear,221.26
P0273,Essential Kitchen 273,Home,Kitchen,107.57
P0274,Lite Kitchen 274,Home,Kitchen,191.78
P0275,Classic Kitchen 275,Home,Kitchen,242.77
P0276,Ultra Kitchen 276,Home,Kitchen,38.85
P0277,Lite Kitchen 277,Home,Kitchen,130.51
P0278,Premium Kitchen 278,Home,Kitchen,215.87
P0279,Premium Kitchen 279,Home,Kitchen,159.98
P0280,Premium Kitchen 280,Home,Kitchen,180.02
P0281,Lite Kitchen 281,Home,Kitchen,37.5
P0282,Ultra Kitchen 282,Home,Kitchen,128.45
P0283,Classic Kitchen 283,Home,Kitchen,179.04
P0284,Premium Kitchen 284,Home,Kitchen,122.69
P0285,Lite Kitchen 285,Home,Kitchen,178.98
P0286,Premium Kitchen 286,Home,Kitchen,75.05
P0287,  PRO KITCHEN 287  ,Home,Kitchen,133.07
P0288,Lite Kitchen 288,Home,Kitchen,18.87
P0289,Ultra Kitchen 289,Home,Kitchen,245.97
P0290,Ultra Kitchen 290,Home,Kitchen,210.65
P0291,Classic Kitchen 291,Home,Kitchen,54.98
P0292,Classic Kitchen 292,Home,Kitchen,204.44
P0293,Lite Kitchen 293,Home,Kitchen,186.18
P0294,Lite Kitchen 294,Home,Kitchen,163.54
P0295,Premium Kitchen 295,Home,Kitchen,197.16
P0296,  CLASSIC KITCHEN 296  ,Home,Kitchen,174.77
P0297,Essential Kitchen 297,Home,Kitchen,239.39
P0298,  classic kitchen 298  ,Home,Kitchen,241.63
P0299,Ultra Kitchen 299,Home,Kitchen,157.04
P0300,Essential Kitchen 300,Home,Kitchen,208.35
P0301,Lite Kitchen 301,Home,Kitchen,178.84
P0302,Premium Kitchen 302,Home,Kitchen,138.92
P0303,Lite Kitchen 303,Home,Kitchen,241.25
P0304,  ultra kitchen 304  ,Home,Kitchen,245.95
P0305,Lite Kitchen 305,Home,Kitchen,130.89
P0306,Essential Kitchen 306,Home,Kitchen,73.38
P0307,Ultra Furniture 307,Home,Furniture,148.08
P0308,Classic Furniture 308,Home,Furniture,119.25
P0309,Pro Furniture 309,Home,Furniture,42.66
P0310,Pro Furniture 310,Home,Furniture,194.55
P0311,Lite Furniture 311,Home,Furniture,78.78
P0312,Premium Furniture 312,Home,Furniture,92.73
P0313,Classic Furniture 313,Home,Furniture,133.72
P0314,Premium Furniture 314,Home,Furniture,21.7
P0315,Essential Furniture 315,Home,Furniture,138.05
P0316,Classic Furniture 316,Home,Furniture,59.19
P0317,Classic Furniture 317,Home,Furniture,86.11
P0318,Premium Furniture 318,Home,Furniture,134.97
P0319,Lite Furniture 319,Home,Furniture,7.16
P0320,Essential Furniture 320,Home,Furniture,63.89
P0321,  premium furniture 321  ,Home,Furniture,64.74
P0322,Essential Furniture 322,Home,Furniture,229.4
P0323,Essential Furniture 323,Home,Furniture,67.86
P0324,Pro Furniture 324,Home,Furniture,228.28
P0325,Classic Furniture 325,Home,Furniture,131.01
P0326,Essential Furniture 326,Home,Furniture,15.74
P0327,Ultra Furniture 327,Home,Furniture,83.48
P0328,Pro Furniture 328,Home,Furniture,46.01
P0329,Premium Furniture 329,Home,Furniture,135.64
P0330,Ultra Furniture 330,Home,Furniture,169.23
P0331,Lite Furniture 331,Home,Furniture,108.93
P0332,Premium Furniture 332,Home,Furniture,208.04
P0333,Lite Furniture 333,Home,Furniture,194.93
P0334,Pro Furniture 334,Home,Furniture,187.99
P0335,  ESSENTIAL FURNITURE 335  ,Home,Furniture,180.63
P0336,Ultra Furniture 336,Home,Furniture,199.58
P0337,Premium Furniture 337,Home,Furniture,206.3
P0338,Essential Furniture 338,Home,Furniture,100.07
P0339,Essential Furniture 339,Home,Furniture,82.52
P0340,Pro Furniture 340,Home,Furniture,136.03
P0341,Premium Decor 341,Home,Decor,20.49
P0342,  pro decor 342  ,Home,Decor,176.72
P0343,Pro Decor 343,Home,Decor,76.01
P0344,Premium Decor 344,Home,Decor,26.19
P0345,Essential Decor 345,Home,Decor,98.45
P0346,Pro Decor 346,Home,Decor,121.13
P0347,Ultra Decor 347,Home,Decor,187.95
P0348,Premium Decor 348,Home,Decor,77.27
P0349,Classic Decor 349,Home,Decor,170.94
P0350,Lite Decor 350,Home,Decor,163.75
P0351,Pro Decor 351,Home,Decor,140.61
P0352,Pro Decor 352,Home,Decor,15.23
P0353,Essential Decor 353,Home,Decor,136.6
P0354,Classic Decor 354,Home,Decor,56.46
P0355,Lite Decor 355,Home,Decor,89.24
P0356,Lite Decor 356,Home,Decor,213.61
P0357,Ultra Decor 357,Home,Decor,59.09
P0358,Ultra Decor 358,Home,Decor,33.08
P0359,Premium Decor 359,Home,Decor,213.8
P0360,Premium Decor 360,Home,Decor,118.01
P0361,Classic Decor 361,Home,Decor,169.56
P0362,Ultra Decor 362,Home,Decor,182.77
P0363,Classic Decor 363,Home,Decor,92.5
P0364,Ultra Decor 364,Home,Decor,29.51
P0365,Ultra Decor 365,Home,Decor,82.86
P0366,Premium Decor 366,Home,Decor,166.56
P0367,Ultra Decor 367,Home,Decor,143.56
P0368,Classic Decor 368,Home,Decor,239.87
P0369,Classic Decor 369,Home,Decor,65.31
P0370,Lite Decor 370,Home,Decor,162.01
P0371,Classic Decor 371,Home,Decor,37.9
P0372,Essential Decor 372,Home,Decor,118.4
P0373,Classic Decor 373,Home,Decor,124.31
P0374,Lite Decor 374,Home,Decor,153.62
P0375,Ultra Cleaning 375,Home,Cleaning,223.37
P0376,  LITE CLEANING 376  ,Home,Cleaning,222.15
P0377,Pro Cleaning 377,Home,Cleaning,213.15
P0378,Premium Cleaning 378,Home,Cleaning,146.83
P0379,Ultra Cleaning 379,Home,Cleaning,227.04
P0380,Premium Cleaning 380,Home,Cleaning,224.03
P0381,Lite Cleaning 381,Home,Cleaning,194.92
P0382,Ultra Cleaning 382,Home,Cleaning,223.4
P0383,Classic Cleaning 383,Home,Cleaning,37.8
P0384,Pro Cleaning 384,Home,Cleaning,102.21
P0385,Lite Cleaning 385,Home,Cleaning,63.53
P0386,Premium Cleaning 386,Home,Cleaning,172.62
P0387,Ultra Cleaning 387,Home,Cleaning,114.32
P0388,Premium Cleaning 388,Home,Cleaning,166.56
P0389,Lite Cleaning 389,Home,Cleaning,184.34
P0390,Pro Cleaning 390,Home,Cleaning,58.61
P0391,Pro Cleaning 391,Home,Cleaning,69.77
P0392,Lite Cleaning 392,Home,Cleaning,55.66
P0393,Classic Cleaning 393,Home,Cleaning,100.08
P0394,Pro Cleaning 394,Home,Cleaning,14.78
P0395,Pro Cleaning 395,Home,Cleaning,177.42
P0396,Classic Cleaning 396,Home,Cleaning,209.54
P0397,Premium Cleaning 397,Home,Cleaning,144.69
P0398,Essential Cleaning 398,Home,Cleaning,94.5
P0399,Pro Cleaning 399,Home,Cleaning,131.58
P0400,Ultra Cleaning 400,Home,Cleaning,131.51
P0401,Classic Cleaning 401,Home,Cleaning,124.28
P0402,Premium Cleaning 402,Home,Cleaning,6.62
P0403,  essential cleaning 403  ,Home,Cleaning,45.57
P0404,Ultra Cleaning 404,Home,Cleaning,41.81
P0405,Premium Cleaning 405,Home,Cleaning,180.74
P0406,Ultra Cleaning 406,Home,Cleaning,106.58
P0407,Pro Cleaning 407,Home,Cleaning,122.97
P0408,Ultra Cleaning 408,Home,Cleaning,149.74
P0409,  essential fiction 409  ,Books,Fiction,10.5
P0410,Ultra Fiction 410,Books,Fiction,38.01
P0411,Premium Fiction 411,Books,Fiction,40.98
P0412,Ultra Fiction 412,Books,Fiction,131.58
P0413,Premium Fiction 413,Books,Fiction,161.22
P0414,Lite Fiction 414,Books,Fiction,167.13
P0415,Pro Fiction 415,Books,Fiction,58.07
P0416,Essential Fiction 416,Books,Fiction,217.49
P0417,Essential Fiction 417,Books,Fiction,152.21
P0418,Ultra Fiction 418,Books,Fiction,157.69
P0419,Ultra Fiction 419,Books,Fiction,182.43
P0420,  ESSENTIAL FICTION 420  ,Books,Fiction,151.15
P0421,Ultra Fiction 421,Books,Fiction,31.6
P0422,Premium Fiction 422,Books,Fiction,172.67
P0423,Premium Fiction 423,Books,Fiction,28.59
P0424,Premium Fiction 424,Books,Fiction,151.95
P0425,Premium Fiction 425,Books,Fiction,128.32
P0426,Essential Fiction 426,Books,Fiction,166.55
P0427,Premium Fiction 427,Books,Fiction,207.74
P0428,Lite Fiction 428,Books,Fiction,164.06
P0429,Classic Fiction 429,Books,Fiction,219.33
P0430,Essential Fiction 430,Books,Fiction,61.22
P0431,Essential Fiction 431,Books,Fiction,90.88
P0432,Lite Fiction 432,Books,Fiction,146.15
P0433,Classic Fiction 433,Books,Fiction,121.9
P0434,Pro Fiction 434,Books,Fiction,74.4
P0435,  essential fiction 435  ,Books,Fiction,68.16
P0436,Pro Fiction 436,Books,Fiction,146.61
P0437,Pro Fiction 437,Books,Fiction,96.88
P0438,Classic Fiction 438,Books,Fiction,105.17
P0439,Essential Fiction 439,Books,Fiction,164.64
P0440,Premium Fiction 440,Books,Fiction,108.77
P0441,Classic Fiction 441,Books,Fiction,247.99
P0442,Ultra Fiction 442,Books,Fiction,106.24
P0443,Essential Non-Fiction 443,Books,Non-Fiction,48.79
P0444,Essential Non-Fiction 444,Books,Non-Fiction,67.18
P0445,Classic Non-Fiction 445,Books,Non-Fiction,194.68
P0446,Ultra Non-Fiction 446,Books,Non-Fiction,214.47
P0447,Lite Non-Fiction 447,Books,Non-Fiction,61.29
P0448,Ultra Non-Fiction 448,Books,Non-Fiction,29.57
P0449,Classic Non-Fiction 449,Books,Non-Fiction,201.21
P0450,Lite Non-Fiction 450,Books,Non-Fiction,178.16
P0451,Lite Non-Fiction 451,Books,Non-Fiction,6.3
P0452,Ultra Non-Fiction 452,Books,Non-Fiction,120.56
P0453,Pro Non-Fiction 453,Books,Non-Fiction,20.7
P0454,Pro Non-Fiction 454,Books,Non-Fiction,154.21
P0455,Essential Non-Fiction 455,Books,Non-Fiction,155.42
P0456,  lite non-fiction 456  ,Books,Non-Fiction,241.06
P0457,Ultra Non-Fiction 457,Books,Non-Fiction,161.87
P0458,Ultra Non-Fiction 458,Books,Non-Fiction,213.39
P0459,  premium non-fiction 459  ,Books,Non-Fiction,75.07
P0460,Premium Non-Fiction 460,Books,Non-Fiction,176.12
P0461,Lite Non-Fiction 461,Books,Non-Fiction,13.83
P0462,Pro Non-Fiction 462,Books,Non-Fiction,244.03
P0463,Classic Non-Fiction 463,Books,Non-Fiction,196.02
P0464,Essential Non-Fiction 464,Books,Non-Fiction,104.34
P0465,  PRO NON-FICTION 465  ,Books,Non-Fiction,185.55
P0466,Classic Non-Fiction 466,Books,Non-Fiction,182.9
P0467,Premium Non-Fiction 467,Books,Non-Fiction,90.28
P0468,Classic Non-Fiction 468,Books,Non-Fiction,60.44
P0469,Essential Non-Fiction 469,Books,Non-Fiction,232.78
P0470,Classic Non-Fiction 470,Books,Non-Fiction,47.88
P0471,Premium Non-Fiction 471,Books,Non-Fiction,22.73
P0472,Pro Non-Fiction 472,Books,Non-Fiction,201.72
P0473,Premium Non-Fiction 473,Books,Non-Fiction,204.22
P0474,Lite Non-Fiction 474,Books,Non-Fiction,113.48
P0475,Essential Non-Fiction 475,Books,Non-Fiction,193.64
P0476,Essential Non-Fiction 476,Books,Non-Fiction,171.99
P0477,Pro Education 477,Books,Education,123.08
P0478,Essential Education 478,Books,Education,160.25
P0479,Lite Education 479,Books,Education,176.79
P0480,Essential Education 480,Books,Education,239.08
P0481,Pro Education 481,Books,Education,176.7
P0482,Classic Education 482,Books,Education,27.79
P0483,Classic Education 483,Books,Education,23.63
P0484,Essential Education 484,Books,Education,81.9
P0485,Premium Education 485,Books,Education,70.92
P0486,Lite Education 486,Books,Education,232.91
P0487,Lite Education 487,Books,Education,53.92
P0488,Classic Education 488,Books,Education,55.66
P0489,Ultra Education 489,Books,Education,209.9
P0490,  pro education 490  ,Books,Education,34.37
P0491,Essential Education 491,Books,Education,155.39
P0492,Premium Education 492,Books,Education,239.71
P0493,Classic Education 493,Books,Education,157.06
P0494,Premium Education 494,Books,Education,217.85
P0495,Premium Education 495,Books,Education,73.67
P0496,Premium Education 496,Books,Education,36.42
P0497,Essential Education 497,Books,Education,122.19
P0498,Premium Education 498,Books,Education,90.09
P0499,Ultra Education 499,Books,Education,117.01
P0500,Premium Education 500,Books,Education,117.72
P0501,Pro Education 501,Books,Education,170.16
P0502,Pro Education 502,Books,Education,84.73
P0503,Classic Education 503,Books,Education,50.85
P0504,Classic Education 504,Books,Education,120.48
P0505,Classic Education 505,Books,Education,50.06
P0506,Essential Education 506,Books,Education,176.67
P0507,Essential Education 507,Books,Education,73.51
P0508,Ultra Education 508,Books,Education,244.92
