order_id,customer_id,order_date,status,region_code
O00100,C0116,2023-05-14 07:23:39,DELIVERED,US-WEST
O00101,C0295,2023-08-18 09:48:01,PLACED,LATAM
O00102,C0313,2023-06-22 20:44:39,DELIVERED,US-EAST
O00103,C0215,2024-05-30 13:15:39,DELIVERED,US-WEST
O00104,C0536,2023-11-13 14:15:54,DELIVERED,APAC
O00105,C0145,2025-01-20 08:31:36,DELIVERED,LATAM
O00106,C0386,2023-01-29 13:34:24,DELIVERED,LATAM
O00107,C0045,2025-03-29 08:29:37,SHIPPED,US-EAST
O00108,C0206,2024-03-17 04:47:32,DELIVERED,APAC
O00109,C0055,2024-02-26 10:06:20,DELIVERED,US-EAST
O00110,C0398,2023-04-14 10:56:44,DELIVERED,LATAM
O00111,C0111,2024-07-13 13:56:34,PLACED,LATAM
O00112,C0237,2024-08-23 10:37:49,RETURNED,APAC
O00113,C0324,2023-06-04 17:29:43,DELIVERED,APAC
O00114,C0091,2025-04-05 18:01:02,SHIPPED,APAC
O00115,C0023,2024-12-12 10:57:55,PLACED,APAC
O00116,C0342,2024-04-18 16:31:19,DELIVERED,LATAM
O00117,C0019,2023-09-01 21:34:48,SHIPPED,EU-NORTH
O00118,C0310,2024-07-06 01:27:25,SHIPPED,APAC
O00119,C0064,2024-03-04 13:29:15,DELIVERED,EU-SOUTH
O00120,C0287,2023-02-15 18:34:05,SHIPPED,EU-NORTH
O00121,C0141,2024-09-02 06:22:57,PLACED,EU-SOUTH
O00122,C0233,2025-03-19 21:46:05,DELIVERED,APAC
O00123,C0437,2023-08-26 06:54:04,RETURNED,APAC
O00124,C0460,2024-05-26 12:37:29,DELIVERED,US-WEST
O00125,C0208,2023-08-04 06:30:26,CANCELLED,EU-NORTH
O00126,C0139,2025-03-24 16:53:01,DELIVERED,US-WEST
O00127,C0162,2025-05-27 10:55:16,SHIPPED,APAC
O00128,C0122,2025-04-07 22:14:47,SHIPPED,US-WEST
O00129,C0327,2023-02-15 19:13:07,CANCELLED,EU-SOUTH
O00130,C0311,2024-09-30 20:34:37,DELIVERED,LATAM
O00131,C0156,2024-03-01 07:51:39,DELIVERED,US-EAST
O00132,C0190,2023-07-24 08:23:09,PLACED,APAC
O00133,C0237,2024-02-19 13:21:33,DELIVERED,US-WEST
O00134,C0368,2023-02-10 12:30:01,PLACED,EU-SOUTH
O00135,C0515,2023-07-28 07:06:42,CANCELLED,EU-SOUTH
O00136,C0189,2024-08-03 22:13:01,CANCELLED,EU-SOUTH
O00137,C0141,2025-01-06 02:17:37,SHIPPED,US-WEST
O00138,C0419,2023-02-20 01:36:17,DELIVERED,US-EAST
O00139,,2024-02-24 05:03:41,SHIPPED,LATAM
O00140,C0210,2023-11-12 00:00:00,PLACED,EU-SOUTH
O00141,C0333,2025-01-31 02:23:42,CANCELLED,US-WEST
O00142,C0415,2024-10-26 04:25:52,DELIVERED,APAC
O00143,C0321,2024-08-13 21:22:36,DELIVERED,LATAM
O00144,C0550,2025-06-07 11:15:42,DELIVERED,LATAM
O00145,C0534,2023-03-01 19:49:49,PLACED,EU-SOUTH
O00146,C0252,2023-03-07 21:22:47,DELIVERED,EU-SOUTH
O00147,C0397,2023-03-02 23:24:23,DELIVERED,LATAM
O00148,C0195,2023-03-18 13:52:03,SHIPPED,EU-SOUTH
O00149,C0293,2024-04-18 02:36:05,DELIVERED,EU-SOUTH
O00150,C0056,2024-04-02 08:45:46,DELIVERED,US-WEST
O00151,C0463,2024-12-21 03:28:33,PLACED,APAC
O00152,C0185,2023-06-25 19:20:33,DELIVERED,LATAM
O00153,C0139,2025-04-28 19:32:00,DELIVERED,EU-NORTH
O00154,C0026,2024-12-01 10:14:35,SHIPPED,APAC
O00155,C0466,2023-11-10 16:34:14,PLACED,EU-NORTH
O00156,C0127,2023-09-12 18:08:25,PLACED,LATAM
O00157,C0372,2024-11-29 02:47:14,PLACED,LATAM
O00158,C0524,2024-08-19 15:48:54,DELIVERED,US-WEST
O00159,C0390,2024-08-11 06:09:45,PLACED,US-WEST
O00160,,2024-06-04 16:54:21,CANCELLED,US-WEST
O00161,C0149,2023-09-09 20:25:27,SHIPPED,LATAM
O00162,C0430,2023-03-21 16:59:37,SHIPPED,LATAM
O00163,C0296,2024-11-24 05:42:46,DELIVERED,US-EAST
O00164,C0208,2023-07-24 09:19:24,PLACED,EU-NORTH
O00165,C0470,2023-01-19 23:08:18,DELIVERED,EU-SOUTH
O00166,C0006,2025-04-24 07:11:30,DELIVERED,EU-SOUTH
O00167,C0223,2024-01-05 12:44:52,DELIVERED,EU-SOUTH
O00168,C0420,2024-12-05 00:00:00,DELIVERED,APAC
O00169,C0251,2023-01-11 05:03:36,CANCELLED,EU-NORTH
O00170,C0213,2025-05-16 02:55:12,PLACED,US-WEST
O00171,C0358,2023-03-27 12:55:56,PLACED,US-EAST
O00172,C0306,2025-06-17 00:51:30,SHIPPED,US-EAST
O00173,C0112,2023-03-18 04:01:18,DELIVERED,US-WEST
O00174,C0292,2023-09-08 15:00:47,DELIVERED,LATAM
O00175,C0182,2025-06-08 00:14:28,RETURNED,LATAM
O00176,C0369,2025-06-18 09:25:40,RETURNED,US-EAST
O00177,C0331,2024-04-09 22:30:25,DELIVERED,EU-SOUTH
O00178,C0438,2023-04-16 02:47:47,CANCELLED,US-EAST
O00179,C0483,2024-03-30 21:35:41,PLACED,LATAM
O00180,C0338,2024-03-02 07:03:53,DELIVERED,APAC
O00181,C0215,2023-11-22 23:36:08,DELIVERED,US-EAST
O00182,,2025-06-06 14:06:30,RETURNED,APAC
O00183,C0496,2023-05-17 04:33:53,DELIVERED,APAC
O00184,C0438,2024-03-22 03:07:07,DELIVERED,EU-NORTH
O00185,C0539,2024-02-08 08:49:40,DELIVERED,APAC
O00186,C0133,2024-07-03 16:36:31,DELIVERED,EU-SOUTH
O00187,C0510,2025-03-18 08:02:11,DELIVERED,US-WEST
O00188,C0298,2023-12-28 12:29:29,RETURNED,US-EAST
O00189,C0025,2023-07-03 15:04:53,DELIVERED,US-EAST
O00190,C0425,2023-11-19 01:51:13,DELIVERED,EU-NORTH
O00191,C0218,2024-06-27 03:53:54,PLACED,US-WEST
O00192,C0261,2024-03-13 11:48:16,DELIVERED,EU-NORTH
O00193,C0519,2024-04-11 11:23:55,DELIVERED,US-EAST
O00194,C0342,2023-06-26 00:00:00,SHIPPED,LATAM
O00195,C0030,2025-06-02 18:55:56,CANCELLED,US-WEST
O00196,C0347,2024-05-28 10:29:09,RETURNED,EU-SOUTH
O00197,C0037,2025-01-07 02:39:32,DELIVERED,EU-SOUTH
O00198,C0472,2023-08-30 09:13:14,CANCELLED,APAC
O00199,C0474,2024-06-04 13:47:36,DELIVERED,EU-SOUTH
O00200,C0534,2023-03-29 00:39:43,SHIPPED,LATAM
O00201,C0549,2024-05-05 02:47:54,PLACED,APAC
O00202,C0363,2024-05-30 07:23:29,PLACED,US-WEST
O00203,C0032,2024-03-11 16:18:27,SHIPPED,EU-SOUTH
O00204,C0170,2025-04-09 23:08:51,DELIVERED,EU-SOUTH
O00205,C0120,2023-10-19 01:59:31,CANCELLED,EU-NORTH
O00206,C0033,2024-05-03 13:23:14,SHIPPED,US-EAST
O00207,C0244,2025-02-11 03:31:56,DELIVERED,EU-NORTH
O00208,C0538,2023-12-02 18:16:43,SHIPPED,US-EAST
O00209,C0039,2024-08-04 07:46:19,DELIVERED,US-EAST
O00210,C0519,2024-11-20 09:05:50,PLACED,EU-SOUTH
O00211,C0158,2025-02-15 19:22:33,SHIPPED,EU-SOUTH
O00212,C0318,2025-03-24 10:15:55,DELIVERED,US-WEST
O00213,C0529,2023-06-02 15:05:01,DELIVERED,US-WEST
O00214,C0038,2023-11-15 17:55:47,DELIVERED,LATAM
O00215,C0119,2025-03-22 10:25:42,PLACED,US-EAST
O00216,C0342,2023-05-16 06:25:28,DELIVERED,US-EAST
O00217,C0534,2023-06-10 03:57:07,DELIVERED,LATAM
O00218,C0024,2024-04-30 10:07:43,DELIVERED,EU-NORTH
O00219,C0329,2023-11-22 23:36:51,SHIPPED,EU-NORTH
O00220,C0546,2024-03-05 18:14:32,SHIPPED,EU-SOUTH
O00221,C0280,2023-07-02 18:20:28,PLACED,EU-NORTH
O00222,C0016,2023-06-27 19:23:34,RETURNED,APAC
O00223,C0105,2025-03-09 13:34:14,SHIPPED,EU-NORTH
O00224,C0327,2025-05-03 09:50:10,SHIPPED,LATAM
O00225,C0251,2024-03-16 00:59:06,SHIPPED,EU-NORTH
O00226,C0455,2024-06-10 05:06:04,PLACED,US-EAST
O00227,C0052,2025-01-01 06:17:39,PLACED,US-EAST
O00228,C0437,2023-05-14 18:46:14,DELIVERED,LATAM
O00229,C0365,2024-11-23 13:58:50,SHIPPED,US-WEST
O00230,C0081,2025-04-08 17:45:35,RETURNED,EU-SOUTH
O00231,C0135,2025-06-01 00:43:10,PLACED,LATAM
O00232,C0100,2024-12-28 10:35:28,DELIVERED,LATAM
O00233,,2024-12-23 23:14:29,SHIPPED,US-WEST
O00234,C0265,2023-08-12 06:19:57,RETURNED,EU-SOUTH
O00235,C0339,2023-10-12 19:53:52,DELIVERED,EU-NORTH
O00236,C0500,2024-12-05 03:37:03,PLACED,EU-SOUTH
O00237,C0360,2023-06-25 00:00:00,DELIVERED,US-WEST
O00238,C0357,2024-03-14 11:19:02,DELIVERED,US-WEST
O00239,C0106,2025-02-28 01:44:10,DELIVERED,LATAM
O00240,C0334,2023-06-16 04:33:06,DELIVERED,US-EAST
O00241,C0546,2024-04-14 07:46:48,DELIVERED,APAC
O00242,C0245,2024-10-04 06:13:53,DELIVERED,APAC
O00243,C0494,2023-09-05 00:42:21,DELIVERED,EU-NORTH
O00244,C0442,2023-11-20 11:40:50,DELIVERED,EU-SOUTH
O00245,C0351,2025-05-31 03:09:57,DELIVERED,US-WEST
O00246,C0080,2023-09-26 21:05:36,DELIVERED,LATAM
O00247,C0499,2025-06-10 23:17:27,PLACED,APAC
O00248,C0334,2024-12-20 02:28:38,DELIVERED,EU-SOUTH
O00249,C0316,2023-10-01 16:14:34,RETURNED,US-EAST
O00250,C0389,2023-06-18 22:17:37,SHIPPED,LATAM
O00251,C0093,2023-04-06 12:13:24,SHIPPED,US-WEST
O00252,C0001,2025-06-21 04:35:46,DELIVERED,LATAM
O00253,C0464,2023-08-20 19:11:30,DELIVERED,EU-SOUTH
O00254,C0458,2025-06-16 18:50:41,SHIPPED,LATAM
O00255,C0307,2024-05-06 19:37:06,DELIVERED,LATAM
O00256,C0446,2024-04-18 00:00:00,DELIVERED,EU-NORTH
O00257,C0009,2023-05-19 16:52:32,DELIVERED,APAC
O00258,C0131,2024-09-19 21:34:18,CANCELLED,US-EAST
O00259,C0055,2024-07-27 13:37:37,PLACED,APAC
O00260,C0113,2024-07-12 01:36:38,CANCELLED,US-EAST
O00261,C0443,2024-01-01 10:25:35,DELIVERED,EU-SOUTH
O00262,C0392,2024-05-09 04:38:44,DELIVERED,EU-SOUTH
O00263,C0217,2025-04-26 19:30:05,DELIVERED,EU-SOUTH
O00264,C0193,2023-08-05 00:51:47,DELIVERED,EU-NORTH
O00265,C0158,2024-10-10 03:40:00,SHIPPED,LATAM
O00266,C0138,2023-07-15 00:48:42,PLACED,LATAM
O00267,,2023-01-25 09:37:45,DELIVERED,EU-SOUTH
O00268,C0140,2024-11-09 10:39:54,PLACED,LATAM
O00269,C0467,2024-10-08 00:12:55,CANCELLED,LATAM
O00270,C0185,2024-10-23 07:24:06,DELIVERED,EU-SOUTH
O00271,C0461,2025-05-07 13:55:00,DELIVERED,US-WEST
O00272,C0435,2023-10-16 14:47:30,DELIVERED,APAC
O00273,C0243,2025-02-12 20:38:15,DELIVERED,EU-NORTH
O00274,C0376,2024-09-30 05:08:37,PLACED,US-EAST
O00275,C0495,2025-06-01 14:09:05,DELIVERED,US-EAST
O00276,C0494,2025-06-20 09:59:17,RETURNED,US-EAST
O00277,C0540,2023-08-09 17:24:18,RETURNED,EU-NORTH
O00278,C0530,2024-12-23 06:04:57,PLACED,APAC
O00279,,2023-05-18 09:31:08,DELIVERED,LATAM
O00280,C0320,2023-05-02 07:06:17,DELIVERED,EU-NORTH
O00281,C0012,2025-04-11 03:29:08,DELIVERED,APAC
O00282,C0340,2024-12-29 22:15:05,DELIVERED,EU-NORTH
O00283,C0172,2024-03-25 06:28:20,PLACED,APAC
O00284,C0267,2024-04-17 08:34:57,PLACED,EU-SOUTH
O00285,C0174,2025-06-17 02:39:43,DELIVERED,LATAM
O00286,C0028,2024-03-29 05:20:52,SHIPPED,US-EAST
O00287,C0518,2023-07-17 00:14:31,PLACED,EU-NORTH
O00288,C0136,2024-01-27 13:08:29,DELIVERED,EU-NORTH
O00289,C0015,2024-02-04 04:00:13,DELIVERED,APAC
O00290,C0155,2023-09-29 06:04:33,DELIVERED,EU-NORTH
O00291,C0268,2023-09-30 11:21:44,DELIVERED,US-WEST
O00292,C0186,2025-01-23 07:04:21,DELIVERED,US-EAST
O00293,C0087,2024-06-16 14:17:58,RETURNED,APAC
O00294,C0508,2023-08-28 00:00:00,DELIVERED,EU-SOUTH
O00295,C0244,2024-08-18 05:30:03,DELIVERED,LATAM
O00296,C0216,2023-09-17 20:46:19,DELIVERED,EU-NORTH
O00297,C0271,2023-03-26 09:24:43,DELIVERED,US-EAST
O00298,C0172,2023-03-23 14:12:24,DELIVERED,EU-SOUTH
O00299,C0488,2024-04-13 03:46:51,DELIVERED,APAC
O00300,C0389,2023-12-29 00:00:00,DELIVERED,EU-SOUTH
O00301,C0269,2025-01-07 05:58:55,PLACED,EU-SOUTH
O00302,C0296,2023-01-19 10:17:10,RETURNED,EU-SOUTH
O00303,C0324,2024-08-16 10:08:41,RETURNED,LATAM
O00304,C0100,2023-03-05 17:14:51,RETURNED,LATAM
O00305,C0443,2024-07-03 15:40:02,DELIVERED,LATAM
O00306,C0344,2024-02-28 10:54:50,SHIPPED,US-EAST
O00307,C0401,2024-02-01 00:00:00,DELIVERED,LATAM
O00308,C0200,2024-01-11 14:50:39,DELIVERED,LATAM
O00309,C0321,2023-10-07 11:46:44,DELIVERED,LATAM
O00310,C0070,2023-01-14 04:00:51,PLACED,US-EAST
O00311,,2025-03-26 23:16:16,DELIVERED,EU-NORTH
O00312,C0291,2023-12-07 20:26:00,SHIPPED,US-EAST
O00313,C0095,2023-02-06 19:37:03,PLACED,APAC
O00314,C0125,2023-12-03 19:48:40,DELIVERED,US-EAST
O00315,C0134,2023-05-15 04:43:02,DELIVERED,LATAM
O00316,,2025-05-29 08:34:28,CANCELLED,LATAM
O00317,C0260,2023-10-14 05:49:20,SHIPPED,LATAM
O00318,,2023-04-28 14:49:44,DELIVERED,EU-NORTH
O00319,C0332,2024-10-25 07:05:41,SHIPPED,US-EAST
O00320,C0064,2024-03-06 18:01:35,DELIVERED,EU-NORTH
O00321,C0265,2023-04-04 07:08:55,RETURNED,EU-NORTH
O00322,C0452,2023-10-04 09:41:31,PLACED,US-WEST
O00323,C0183,2024-09-01 22:28:23,DELIVERED,US-EAST
O00324,C0442,2023-08-12 11:57:33,SHIPPED,LATAM
O00325,C0453,2023-06-15 01:16:34,DELIVERED,US-EAST
O00326,C0075,2023-02-24 03:42:30,PLACED,LATAM
O00327,C0457,2024-01-25 06:54:32,PLACED,EU-SOUTH
O00328,C0001,2023-08-20 05:41:22,RETURNED,LATAM
O00329,C0273,2024-08-29 14:17:31,SHIPPED,EU-NORTH
O00330,C0004,2024-08-30 21:51:12,DELIVERED,EU-SOUTH
O00331,C0447,2025-01-12 18:19:47,DELIVERED,LATAM
O00332,C0232,2023-04-19 21:30:20,PLACED,LATAM
O00333,C0125,2025-01-18 20:44:09,DELIVERED,EU-NORTH
O00334,,2024-06-01 23:32:00,SHIPPED,US-EAST
O00335,C0375,2023-05-21 20:18:35,DELIVERED,EU-NORTH
O00336,C0471,2023-05-05 23:38:46,DELIVERED,EU-NORTH
O00337,C0181,2023-11-12 12:52:48,DELIVERED,EU-SOUTH
O00338,C0307,2023-10-24 17:06:50,DELIVERED,US-EAST
O00339,C0499,2024-07-12 02:13:31,PLACED,LATAM
O00340,C0195,2024-11-11 09:13:03,PLACED,US-WEST
O00341,C0245,2023-02-09 09:39:39,DELIVERED,US-EAST
O00342,C0316,2025-04-19 17:14:27,DELIVERED,EU-SOUTH
O00343,C0038,2023-01-26 12:07:05,SHIPPED,EU-NORTH
O00344,C0416,2023-03-08 12:14:29,PLACED,LATAM
O00345,C0470,2025-03-23 15:18:49,RETURNED,APAC
O00346,C0239,2023-08-20 09:23:37,RETURNED,US-EAST
O00347,C0501,2023-08-08 22:52:31,DELIVERED,EU-SOUTH
O00348,C0249,2023-03-13 03:36:39,DELIVERED,US-WEST
O00349,C0177,2023-01-23 07:34:25,DELIVERED,EU-NORTH
O00350,C0468,2023-06-01 03:19:03,DELIVERED,APAC
O00351,C0109,2023-04-10 08:30:45,PLACED,APAC
O00352,C0065,2023-12-09 15:32:23,CANCELLED,EU-SOUTH
O00353,C0412,2024-06-08 00:00:00,SHIPPED,LATAM
O00354,C0141,2025-06-13 17:36:23,SHIPPED,US-WEST
O00355,C0178,2023-03-12 19:35:22,SHIPPED,US-EAST
O00356,,2024-03-01 11:29:04,DELIVERED,US-WEST
O00357,C0169,2024-07-28 15:53:27,DELIVERED,APAC
O00358,C0137,2023-03-05 05:21:53,PLACED,LATAM
O00359,C0162,2024-08-07 07:10:55,PLACED,EU-SOUTH
O00360,C0007,2023-05-06 09:33:25,PLACED,US-EAST
O00361,C0427,2024-03-16 18:16:43,DELIVERED,EU-SOUTH
O00362,C0212,2023-07-17 02:53:32,PLACED,EU-NORTH
O00363,C0462,2025-03-23 14:05:30,DELIVERED,US-WEST
O00364,C0185,2023-02-28 10:37:13,DELIVERED,APAC
O00365,C0309,2023-05-17 17:40:04,SHIPPED,US-EAST
O00366,C0242,2025-05-16 08:57:03,SHIPPED,APAC
O00367,C0371,2023-05-29 15:21:09,CANCELLED,APAC
O00368,C0225,2025-02-27 10:29:27,DELIVERED,LATAM
O00369,C0284,2023-11-20 06:51:17,PLACED,US-EAST
O00370,C0486,2023-08-20 19:13:42,DELIVERED,US-WEST
O00371,C0056,2023-03-08 23:27:58,DELIVERED,EU-NORTH
O00372,C0446,2023-11-22 14:04:20,SHIPPED,APAC
O00373,C0045,2024-12-04 22:34:05,PLACED,US-EAST
O00374,C0181,2025-04-14 18:15:24,SHIPPED,US-EAST
O00375,,2025-01-23 12:23:58,PLACED,US-WEST
O00376,C0334,2024-11-22 00:07:29,DELIVERED,LATAM
O00377,C0236,2024-05-20 22:24:55,DELIVERED,EU-NORTH
O00378,C0101,2023-12-20 20:19:51,SHIPPED,EU-SOUTH
O00379,C0385,2023-11-07 14:53:37,CANCELLED,US-EAST
O00380,C0497,2025-01-01 15:47:22,PLACED,EU-SOUTH
O00381,C0222,2023-08-14 03:48:08,RETURNED,EU-SOUTH
O00382,C0397,2023-10-04 14:35:11,DELIVERED,EU-SOUTH
O00383,C0368,2023-10-29 00:00:00,RETURNED,US-WEST
O00384,C0131,2024-06-05 18:56:12,PLACED,APAC
O00385,C0288,2023-04-03 15:58:38,PLACED,EU-SOUTH
O00386,C0429,2024-12-13 09:03:41,SHIPPED,EU-NORTH
O00387,C0303,2023-12-08 12:44:05,DELIVERED,LATAM
O00388,C0236,2023-09-21 23:39:14,PLACED,APAC
O00389,C0222,2025-01-29 23:11:50,DELIVERED,EU-SOUTH
O00390,C0015,2024-03-09 16:14:41,DELIVERED,LATAM
O00391,C0254,2024-01-19 03:56:03,SHIPPED,APAC
O00392,C0153,2023-12-12 11:55:09,RETURNED,US-EAST
O00393,C0046,2024-10-10 23:39:48,PLACED,EU-SOUTH
O00394,C0035,2025-02-22 06:32:50,DELIVERED,EU-SOUTH
O00395,C0101,2025-01-14 12:27:21,DELIVERED,US-WEST
O00396,C0013,2023-05-10 01:52:35,DELIVERED,EU-SOUTH
O00397,C0136,2023-12-05 15:52:15,DELIVERED,US-WEST
O00398,C0017,2023-05-21 22:38:28,DELIVERED,EU-NORTH
O00399,C0471,2023-09-09 08:26:48,CANCELLED,LATAM
O00400,C0025,2025-06-25 00:00:00,RETURNED,EU-SOUTH
O00401,C0416,2023-08-04 08:16:26,SHIPPED,EU-NORTH
O00402,C0002,2024-12-22 06:12:05,CANCELLED,US-EAST
O00403,C0341,2024-08-20 21:20:20,DELIVERED,EU-NORTH
O00404,C0277,2024-10-23 14:47:12,DELIVERED,APAC
O00405,C0213,2025-04-22 00:00:00,DELIVERED,US-EAST
O00406,C0057,2024-06-05 11:36:16,DELIVERED,LATAM
O00407,C0053,2024-07-19 10:33:00,PLACED,EU-NORTH
O00408,C0042,2024-12-23 21:36:45,DELIVERED,US-WEST
O00409,C0069,2025-05-18 01:13:05,DELIVERED,US-WEST
O00410,C0343,2023-08-04 00:08:32,SHIPPED,US-EAST
O00411,C0215,2025-01-13 07:31:45,DELIVERED,US-WEST
O00412,C0362,2024-05-12 19:45:25,CANCELLED,APAC
O00413,C0284,2024-10-18 23:56:26,PLACED,EU-NORTH
